ix,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
18813,1437910090,20150128T000000,520000.0,4,2.5,2410,6440,1.0,0,0,3,8,1550,860,1974,0,98034,47.7153,-122.191,2330,6938
6136,3645500050,20140514T000000,543000.0,3,2.5,2090,7640,1.0,0,0,3,7,1360,730,1962,2014,98133,47.7369,-122.338,2090,7668
19589,4338800600,20140609T000000,235000.0,3,1.0,1590,13000,1.5,0,0,3,6,1590,0,1944,0,98166,47.4789,-122.346,1460,8400
7877,2114700530,20150122T000000,360000.0,4,1.0,1460,3840,1.5,0,0,3,8,1340,120,1928,0,98106,47.533,-122.34700000000001,990,4200
14695,6381500450,20141104T000000,380950.0,2,1.0,1430,7819,1.0,0,0,3,7,1110,320,1944,0,98125,47.7307,-122.302,1380,7473
12407,9206950200,20150310T000000,352000.0,2,2.5,1320,1957,1.0,0,0,3,8,660,660,2004,0,98106,47.5364,-122.365,1420,2198
4356,4232900940,20140522T000000,926300.0,3,1.5,1660,4800,2.0,0,0,3,8,1660,0,1907,0,98119,47.6352,-122.35799999999999,1690,4000
7172,1025049174,20140515T000000,1255000.0,4,2.5,3200,7535,2.0,0,0,3,9,3200,0,2006,0,98105,47.666000000000004,-122.27600000000001,1650,6850
10772,7774200070,20150408T000000,725000.0,4,2.5,2750,13950,1.0,0,3,4,8,1380,1370,1948,0,98146,47.4938,-122.36399999999999,2460,13950
9888,1231000310,20140812T000000,713000.0,1,1.0,1180,4000,1.5,0,2,4,8,840,340,1910,0,98118,47.5561,-122.266,1420,4000
19788,8155870200,20140522T000000,349900.0,4,2.5,2052,3723,2.0,0,0,3,8,2052,0,2014,0,98003,47.2824,-122.295,2052,5250
9195,7935000625,20150409T000000,975000.0,3,2.5,2530,7000,2.5,0,4,3,9,2530,0,1915,1999,98136,47.5465,-122.398,2380,7000
13475,2426049079,20150506T000000,330000.0,3,1.0,1060,20040,1.0,0,0,3,6,1060,0,1943,0,98034,47.7281,-122.235,1768,10800
12495,4037500230,20141007T000000,400000.0,5,2.25,2070,10488,1.0,0,0,4,7,1080,990,1958,0,98008,47.6095,-122.12200000000001,1740,9225
13614,2331550120,20140904T000000,310000.0,4,2.5,2440,7093,2.0,0,0,3,7,2440,0,1999,0,98030,47.3817,-122.204,1860,6072
12029,7974200765,20140902T000000,485000.0,3,1.0,1020,6120,1.0,0,0,3,7,1020,0,1941,0,98115,47.6787,-122.285,2370,6695
2101,686200510,20141122T000000,643000.0,3,2.75,2030,7700,1.0,0,0,5,8,1400,630,1965,0,98008,47.626000000000005,-122.11200000000001,1780,8160
15274,4024100670,20150506T000000,605000.0,3,2.25,2260,17114,2.0,0,0,3,7,2260,0,1990,0,98155,47.7537,-122.296,2360,14893
4197,3834500195,20140707T000000,527000.0,6,3.5,3000,8401,1.0,0,0,3,8,1500,1500,1979,0,98125,47.7226,-122.29899999999999,1400,8403
7495,3526059115,20150421T000000,515000.0,5,3.0,2670,11761,1.0,0,0,3,7,1370,1300,1981,0,98052,47.6895,-122.12899999999999,2580,10703
9842,7950304075,20140813T000000,225000.0,4,1.0,1150,6000,1.5,0,0,3,6,1150,0,1907,0,98118,47.562,-122.28299999999999,840,3030
18602,1386800054,20141201T000000,283450.0,5,2.75,2770,6116,1.0,0,0,3,7,1490,1280,1979,0,98168,47.4847,-122.291,1920,6486
4045,9834200165,20150406T000000,704300.0,4,1.5,1790,4080,1.5,0,0,5,7,1790,0,1928,0,98144,47.5749,-122.291,1710,4080
8865,6147650300,20141016T000000,270000.0,3,2.25,2100,14027,2.0,0,0,3,8,2100,0,1979,0,98042,47.3833,-122.1,2730,5999
14628,6891800360,20140918T000000,609000.0,3,2.5,2630,10131,2.0,0,0,3,9,2630,0,1989,0,98028,47.7695,-122.259,2800,10123
2730,9170500060,20140818T000000,649000.0,4,2.0,2240,11040,1.0,0,0,5,8,1120,1120,1961,0,98033,47.693000000000005,-122.16799999999999,1790,11040
1664,65000260,20140820T000000,830000.0,3,2.5,3370,6550,2.0,0,2,4,8,2840,530,1912,2001,98126,47.5442,-122.38,1500,6550
16016,7784400130,20140505T000000,497300.0,6,2.75,3200,9200,1.0,0,2,4,8,1600,1600,1953,0,98146,47.492,-122.36399999999999,2220,9500
1476,7941140070,20150318T000000,400000.0,3,2.25,1500,2692,2.0,0,0,3,7,1500,0,1986,0,98034,47.7159,-122.20299999999999,1470,2418
18296,2122049096,20140808T000000,182500.0,2,1.0,1040,13920,1.0,0,0,3,6,1040,0,1973,0,98198,47.3756,-122.306,1100,7575
21326,6003000851,20140522T000000,353000.0,1,1.0,550,1279,2.0,0,0,3,7,550,0,2008,0,98122,47.61600000000001,-122.314,1460,1385
4851,7203220050,20141118T000000,988830.0,5,3.25,4115,7910,2.0,0,0,3,9,4115,0,2014,0,98053,47.6847,-122.016,3950,6765
11304,8898700960,20140620T000000,329950.0,3,2.5,1820,8085,2.0,0,0,3,7,1820,0,1983,0,98055,47.4575,-122.204,1860,8625
50,5245600105,20140916T000000,228000.0,3,1.0,1190,9199,1.0,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,1190,9364
5135,3530470190,20150505T000000,220000.0,1,1.5,1100,3451,1.5,0,0,4,8,1100,0,1978,0,98198,47.3829,-122.322,1400,4560
14705,7883603965,20150212T000000,315000.0,4,2.0,1210,4250,1.0,0,0,4,7,1210,0,1941,0,98108,47.5275,-122.321,1210,6000
1686,4022902505,20140731T000000,470000.0,3,2.25,2220,9800,2.0,0,0,3,8,2220,0,1987,0,98155,47.7635,-122.286,2420,10232
9755,3211100240,20140529T000000,349000.0,4,1.75,1700,7800,1.0,0,0,5,7,1120,580,1981,0,98059,47.4801,-122.15799999999999,1560,7800
4572,5119010090,20140510T000000,549900.0,5,2.75,3060,7015,1.0,0,0,5,8,1600,1460,1979,0,98146,47.5052,-122.37200000000001,2190,7600
4398,3821000100,20150320T000000,249950.0,4,1.75,1620,10530,1.0,0,0,3,7,1620,0,1968,0,98030,47.3808,-122.211,1890,9975
5436,7301300050,20141119T000000,375000.0,3,2.5,1930,6180,1.0,0,0,3,7,1330,600,1961,0,98155,47.7481,-122.32700000000001,1940,6180
724,2171400197,20140918T000000,350000.0,5,3.0,2520,5500,1.0,0,0,3,8,1550,970,2004,0,98178,47.4938,-122.255,1700,8000
14352,9471201175,20140506T000000,1580000.0,4,3.25,3760,10920,1.5,0,0,5,9,2400,1360,1950,0,98105,47.6687,-122.264,3430,11050
2805,2473450200,20150305T000000,385000.0,4,3.0,2740,10925,1.0,0,0,3,8,1670,1070,1980,0,98058,47.4538,-122.125,2330,9940
9913,2258500045,20140923T000000,317500.0,2,1.0,1000,5120,1.0,0,0,3,6,1000,0,1902,0,98122,47.6088,-122.307,1940,4300
10897,1139000400,20140826T000000,430000.0,3,1.5,1550,5034,2.0,0,0,4,7,1550,0,1922,0,98177,47.7072,-122.36,1820,7200
17163,3298701025,20150427T000000,135000.0,2,1.0,750,5217,1.0,0,0,4,6,750,0,1943,0,98106,47.5188,-122.353,760,4440
1026,1498302774,20140520T000000,271310.0,2,1.0,870,5340,1.5,0,0,2,6,870,0,1906,0,98144,47.5849,-122.302,1190,4440
17237,9276200190,20150416T000000,569950.0,5,1.0,1420,6250,1.5,0,0,4,8,1420,0,1926,0,98116,47.5807,-122.389,1420,6250
11127,2909300240,20150501T000000,725000.0,3,2.5,2810,6300,2.0,0,0,3,8,2810,0,2001,0,98074,47.6077,-122.02,2860,6630
20713,1250200693,20140718T000000,515000.0,3,3.0,2100,2409,2.0,0,0,3,8,1660,440,2008,0,98144,47.5973,-122.29799999999999,1900,2400
5627,3101500010,20150420T000000,320000.0,2,1.0,950,4000,1.0,0,0,3,6,950,0,1910,0,98144,47.5728,-122.31200000000001,1480,4000
5031,2557000630,20140707T000000,266000.0,4,2.25,1995,7102,2.0,0,0,4,8,1995,0,1981,0,98023,47.2986,-122.37,1880,7950
5863,1324300091,20140528T000000,370000.0,3,1.0,800,2296,1.0,0,0,4,6,800,0,1908,0,98103,47.6546,-122.35600000000001,1480,1472
15541,2826049260,20140620T000000,482500.0,4,3.0,1630,7626,1.0,0,0,5,7,1110,520,1990,0,98125,47.7168,-122.30799999999999,1630,8082
19748,3342100421,20150424T000000,745000.0,4,2.5,3170,5100,2.0,0,0,3,9,3170,0,2012,0,98056,47.5187,-122.208,1580,5100
123,3524049083,20141104T000000,445000.0,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1924,0,98118,47.5299,-122.266,1850,4400
1247,9103000393,20140910T000000,1225000.0,5,4.5,3732,4426,2.5,0,0,3,10,2932,800,2001,0,98112,47.6189,-122.288,2950,4000
820,3121059033,20141029T000000,325000.0,3,1.0,1490,57381,1.5,0,0,4,5,1490,0,1932,0,98092,47.2597,-122.228,1580,101529
580,7853240200,20140516T000000,619000.0,3,2.5,2720,6439,2.0,0,0,3,9,2720,0,2005,0,98065,47.5422,-121.86,3180,7320
8603,7950700120,20141217T000000,279000.0,4,2.0,1980,10051,1.0,0,0,3,7,1980,0,1969,2003,98092,47.3231,-122.103,1520,10125
14091,1822059057,20140725T000000,152000.0,2,1.0,700,13500,1.0,0,0,3,4,700,0,1920,0,98031,47.3882,-122.208,1600,10124
9876,1219000473,20140626T000000,164950.0,3,1.75,1570,15330,1.0,0,0,3,7,1080,490,1956,0,98166,47.4608,-122.34,1250,13330
13083,9272201385,20141022T000000,677500.0,5,1.0,2340,4730,2.0,0,0,3,8,1810,530,1918,0,98116,47.5895,-122.385,2100,4970
17177,1336800185,20140617T000000,1185000.0,3,2.75,2500,5568,2.0,0,0,5,9,2500,0,1905,0,98112,47.6258,-122.31200000000001,2810,5568
21108,9268851630,20140604T000000,520000.0,3,3.25,1540,1487,2.0,0,0,3,8,1540,0,2011,0,98027,47.5397,-122.027,1620,1104
2948,2788400315,20140922T000000,265000.0,3,1.0,1400,9460,1.0,0,0,3,7,1060,340,1961,0,98168,47.5119,-122.321,1570,7700
4731,3529000930,20140616T000000,530000.0,4,2.5,2050,6360,2.0,0,0,3,8,2050,0,1988,0,98029,47.5641,-122.01100000000001,2070,7541
14384,5631500967,20150204T000000,476000.0,4,1.75,2340,17541,1.0,0,0,4,7,1360,980,1956,0,98028,47.745,-122.229,2250,9212
8441,2188201010,20150121T000000,245000.0,3,2.25,1530,12000,1.0,0,0,3,7,1070,460,1979,0,98023,47.2715,-122.338,2140,13636
8763,8562970040,20140516T000000,655000.0,5,3.25,3690,12353,2.0,0,0,5,9,3690,0,1977,0,98155,47.7672,-122.292,2290,9082
10399,4415600030,20150316T000000,433000.0,3,2.75,2000,7200,1.0,0,0,3,7,1000,1000,1954,2014,98166,47.4531,-122.352,1440,7200
1959,2473251170,20140626T000000,302000.0,4,1.75,1530,17664,1.5,0,0,3,7,1530,0,1968,0,98058,47.4549,-122.155,1530,11625
15170,7511200020,20140829T000000,509900.0,3,1.75,1690,53578,1.0,0,0,3,8,1690,0,1984,0,98053,47.6546,-122.04899999999999,2290,52707
14895,1163400020,20150403T000000,251000.0,3,1.5,1590,21600,1.5,0,0,4,7,1590,0,1971,0,98022,47.2159,-121.96600000000001,1780,21600
9511,5412400180,20150417T000000,267500.0,3,2.5,1400,7629,1.0,0,0,3,7,1120,280,1988,0,98030,47.3788,-122.179,1530,7688
19812,255450400,20140731T000000,326989.0,3,2.5,2060,4200,2.0,0,0,3,8,2060,0,2014,0,98038,47.3706,-122.01700000000001,2370,4200
8922,1687000210,20140725T000000,275000.0,3,2.5,2497,4400,2.0,0,0,3,8,2497,0,2007,0,98001,47.2873,-122.28299999999999,2434,4400
19705,6749700004,20150330T000000,291000.0,2,1.0,840,863,3.0,0,0,3,8,840,0,2008,0,98103,47.6974,-122.34899999999999,1110,1190
2541,2738650030,20150511T000000,552500.0,3,2.5,2450,3582,2.0,0,0,3,9,2450,0,2008,0,98072,47.7749,-122.15899999999999,2490,5449
5348,9136100420,20150408T000000,767500.0,4,2.0,2350,4815,1.5,0,0,4,7,1450,900,1914,0,98103,47.6681,-122.338,1640,4013
19178,1924069115,20150224T000000,873000.0,3,2.25,2720,54450,2.0,0,0,3,11,2720,0,1997,0,98027,47.5473,-122.09200000000001,3170,60548
13175,714000155,20141222T000000,670000.0,3,1.0,1710,6195,1.0,0,0,3,7,1410,300,1946,0,98105,47.6706,-122.265,1610,6195
12425,904000045,20140623T000000,1289000.0,3,2.5,2190,11394,1.0,0,0,3,8,1550,640,1956,0,98199,47.6685,-122.40899999999999,2190,9540
930,3395070640,20140902T000000,300000.0,3,2.5,1320,2614,2.0,0,0,3,7,1320,0,2005,0,98118,47.5355,-122.28299999999999,1320,2533
14982,6308000010,20141208T000000,585000.0,3,2.5,2290,5089,2.0,0,0,3,9,2290,0,2001,0,98006,47.5443,-122.17200000000001,2290,7984
16900,2695600130,20141118T000000,355000.0,2,1.0,1250,4558,1.0,0,0,3,7,1250,0,1948,0,98126,47.5318,-122.37899999999999,1180,4494
13033,3626039279,20140805T000000,395000.0,2,1.0,960,6700,1.0,0,0,3,7,960,0,1951,0,98103,47.6955,-122.35700000000001,1350,6700
8161,1623089039,20141217T000000,275000.0,2,1.0,900,57063,1.0,0,0,4,6,900,0,1938,0,98045,47.4735,-121.786,1440,268765
20432,3438501327,20150504T000000,352500.0,2,2.5,1570,2399,2.0,0,0,3,7,1180,390,2009,0,98106,47.5488,-122.36399999999999,1590,2306
8654,8118600025,20150331T000000,552500.0,4,1.0,1560,7980,1.0,0,0,4,7,1170,390,1939,0,98146,47.5093,-122.387,1570,7980
19707,7625703435,20150121T000000,885000.0,3,2.25,2940,6500,3.0,0,0,3,9,2940,0,2014,0,98136,47.5482,-122.38799999999999,1680,6500
18021,1807900300,20141217T000000,830000.0,6,3.0,2530,9000,1.0,0,0,3,6,2530,0,1978,0,98033,47.6716,-122.199,1886,6000
14024,1862900360,20140922T000000,315000.0,3,2.5,1950,9618,2.0,0,0,3,7,1950,0,1992,0,98031,47.4068,-122.18,1890,7133
19883,2768100186,20140618T000000,515000.0,3,3.5,1360,1419,2.0,0,0,3,8,1040,320,2007,0,98107,47.6697,-122.37100000000001,1560,1977
19686,2524059269,20140610T000000,915000.0,6,3.75,2930,14980,2.0,0,3,3,9,2930,0,2013,0,98006,47.5441,-122.117,3210,10787
17180,1126059108,20150423T000000,1200000.0,4,3.5,3930,43560,2.0,0,0,3,10,3930,0,2003,0,98072,47.7497,-122.12100000000001,2860,36460
15063,7856610130,20140721T000000,840000.0,4,2.25,2720,8712,2.0,0,0,4,9,2720,0,1976,0,98006,47.5616,-122.15299999999999,2470,8714
9792,7203000200,20141212T000000,325000.0,3,1.5,1890,7650,1.0,0,0,5,7,1890,0,1966,0,98003,47.3454,-122.314,1510,7560
1464,3630120700,20140513T000000,757000.0,3,3.25,3190,5283,2.0,0,0,3,9,3190,0,2007,0,98029,47.5534,-122.00200000000001,2950,5198
8416,1612500090,20150331T000000,225800.0,4,1.0,1100,7110,1.0,0,0,4,7,880,220,1907,0,98030,47.3858,-122.227,1150,7110
7827,3586500620,20140814T000000,685000.0,4,2.5,2650,25248,1.0,0,2,3,9,2330,320,1954,0,98177,47.7537,-122.37299999999999,3020,23135
8958,5207200360,20140903T000000,420000.0,2,1.0,930,5368,1.0,0,0,4,7,930,0,1953,0,98115,47.6952,-122.275,1770,6000
7660,6675500035,20140613T000000,435000.0,3,1.75,1500,8173,1.0,0,0,3,7,1500,0,1997,0,98034,47.7293,-122.227,1970,8173
18852,1781500385,20140806T000000,296500.0,3,1.0,1280,5100,1.0,0,0,3,7,1280,0,1948,0,98126,47.5259,-122.38,1380,7140
6252,1150900080,20150427T000000,846450.0,4,2.5,3710,7491,2.0,0,0,3,9,3710,0,2003,0,98029,47.5596,-122.016,3040,7491
13993,9541600355,20140813T000000,880000.0,4,2.5,3070,8250,1.0,0,0,5,8,2100,970,1958,0,98005,47.5935,-122.17200000000001,2270,8800
16334,7525530670,20141112T000000,745000.0,4,2.5,3130,10860,2.0,0,0,3,10,3130,0,1990,0,98075,47.56,-122.04,3130,10860
19139,844000375,20150303T000000,335000.0,4,1.5,3160,19745,1.5,0,0,4,6,1840,1320,1968,0,98010,47.3103,-122.006,1540,8611
20919,9578140180,20140611T000000,329950.0,3,2.5,2456,7566,2.0,0,0,3,8,2456,0,2012,0,98023,47.297,-122.351,2478,7212
18347,9558041130,20140903T000000,345000.0,3,2.5,1870,3584,2.0,0,0,3,8,1870,0,2003,0,98058,47.4521,-122.12100000000001,1900,3920
12610,1788800910,20141020T000000,190000.0,3,1.0,1200,10458,1.0,0,0,4,6,1200,0,1961,0,98023,47.3262,-122.34200000000001,1160,9000
6271,9550200225,20140711T000000,625000.0,3,1.5,1230,3060,1.0,0,0,3,7,910,320,1927,0,98103,47.667,-122.333,1260,4488
1837,8643200055,20140601T000000,243000.0,3,1.75,1790,12000,1.0,0,0,3,7,1040,750,1960,0,98198,47.3945,-122.31299999999999,1840,12000
17134,6143000020,20150406T000000,299000.0,3,1.75,1910,17003,1.5,0,0,4,8,1910,0,1963,0,98001,47.3095,-122.28299999999999,1820,14806
6077,8941100095,20140923T000000,1112500.0,6,4.0,3600,6224,2.0,0,0,3,9,2610,990,1945,2006,98199,47.6531,-122.405,1430,6224
5952,3630010020,20141229T000000,376000.0,3,2.0,1540,1827,2.0,0,0,3,8,1540,0,2005,0,98029,47.5479,-121.999,1560,2058
20879,2895800610,20140926T000000,352800.0,4,2.25,1800,2752,2.0,0,0,3,8,1800,0,2014,0,98106,47.5167,-122.346,1650,2752
49,822039084,20150311T000000,1350000.0,3,2.5,2753,65005,1.0,1,2,5,9,2165,588,1953,0,98070,47.4041,-122.45100000000001,2680,72513
16338,5423600080,20140918T000000,540000.0,3,2.5,1720,11656,2.0,0,0,3,8,1720,0,1987,1999,98052,47.6791,-122.113,1890,10336
8835,3992700775,20150121T000000,410000.0,4,2.0,1490,13736,1.0,0,0,4,6,1490,0,1942,0,98125,47.711999999999996,-122.281,2040,7200
19140,3816700150,20141114T000000,430000.0,3,2.0,2350,12480,1.0,0,0,3,7,1600,750,1981,0,98028,47.7661,-122.262,2160,12000
9387,4083302485,20150420T000000,913000.0,3,1.75,2170,4000,1.0,0,0,4,7,1110,1060,1925,0,98103,47.6546,-122.337,1890,4000
11840,5127000810,20140514T000000,305495.0,3,1.75,2110,10200,2.0,0,0,4,7,2110,0,1966,0,98059,47.4744,-122.154,1800,10200
5099,1725059182,20140701T000000,1150000.0,4,2.5,3340,10422,2.0,0,0,3,10,3340,0,1996,0,98033,47.6515,-122.197,1770,9490
13096,9485930120,20141014T000000,390000.0,3,2.25,2270,32112,1.0,0,0,4,8,1740,530,1980,0,98042,47.3451,-122.094,2310,41606
8008,293850040,20150205T000000,495500.0,3,2.5,3190,7828,2.0,0,0,3,9,3190,0,2006,0,98059,47.5047,-122.14399999999999,2970,7828
10455,8731981940,20140908T000000,415000.0,4,2.25,2520,8000,1.0,0,2,3,8,1680,840,1970,0,98023,47.3202,-122.383,2300,8000
4742,3330501545,20141201T000000,330000.0,2,1.0,950,3090,1.0,0,0,4,6,950,0,1909,0,98118,47.551,-122.27600000000001,1230,4120
13571,1026069061,20150129T000000,682000.0,4,2.5,3600,203425,2.0,0,0,3,9,3400,200,1979,0,98077,47.7597,-122.01799999999999,3150,202989
12274,8121200710,20150123T000000,480000.0,3,2.25,1950,8892,2.0,0,0,3,8,1950,0,1983,0,98052,47.7213,-122.11,1900,8750
